時間,Group1_Production_産業機械_#06,Group2_Production_産業機械_#09,Group3_Production_産業機械_#01,Group3_Production_産業機械_#03,Group3_Production_産業機械_#12,Group3_Production_産業機械_#14,Group3_Production_産業機械_#15,Group4_Production_産業機械_#04,Group4_Production_産業機械_#10,Group5_Production_製造機械_#02,Group5_Production_製造機械_#08,Group5_Production_製造機械_#13,Group6_Production_産業機械_#05,Group6_Production_産業機械_#07,Group6_Production_産業機械_#11,Group7_Production_産業機械_#16,
00:00,17.599999999999998,0.8,11.4,16,0,76.4,0,0,0,1.2,0,13.8,0,0,27,0,
00:01,17.2,0.8,12,15.6,0,76.8,0,0,0,1.2,0,13.600000000000001,0,0.2,27,0,
00:02,17.2,0.8,12.2,15.4,0,76.2,0,0,0,1.2,0,13.4,0,0.2,27.200000000000003,0,
00:03,17.2,0.6,11.799999999999999,15.4,0,76.4,0,0,0,1.2,0,13.4,0,0.4,26.8,0,
00:04,17.2,0.6,12.4,15.2,0,76.8,0,0,0,1,0,13.200000000000001,0,0.2,27.400000000000002,0,
00:05,17.2,0.6,11.600000000000001,15.2,0,76.6,0,0,0,1,0,13.600000000000001,0,0.2,26.6,0,
00:06,16.8,0.4,12,14.6,0,75.4,0,0,0,0.8,0,13,0,1,27.6,0,
00:07,16.6,0.6,12,15,0.2,75.6,0,0,0,1.2,0,12.8,0,0.8,27.200000000000003,0,
00:08,16.6,0.2,12,15.2,0,74.8,0,0,0,0.8,0,13,0,0.6,27.400000000000002,0,
00:09,16.8,0.8,12,15,0.2,76.4,0,0,0,1,0,12.8,0,0.6,27.200000000000003,0,
00:10,17,0.4,11.600000000000001,15,0,75.4,0,0,0,0.8,0,13.4,0,0.6,27,0,
00:11,17.2,0.8,12,15.6,0,76.4,0,0,0,1,0,13.200000000000001,0,0.2,27,0,
00:12,17,1,12.2,15.2,0.2,77,0,0,0,1.2,0,13.200000000000001,0,0,27.400000000000002,0,
00:13,17.2,0.8,12,15.4,0,76.6,0,0,0,1,0,13.4,0,0,26.6,0,
00:14,17,1,12,15.4,0,76,0,0,0,1.2,0,13,0,0,27,0,
00:15,17.2,0.8,11.799999999999999,15,0,76.6,0,0,0,1,0,13.4,0,0.2,27,0,
00:16,17.2,0.8,11.600000000000001,14.799999999999999,0,76.8,0,0,0,1.2,0,13.600000000000001,0,0,26.8,0,
00:17,17.2,1,11.799999999999999,15,0.2,77,0,0,0,1.2,0,13.4,0,0,27,0,
00:18,17,0.8,12,14.6,0,77,0,0,0,1,0,13.200000000000001,0,0.2,27.200000000000003,0,
00:19,17,0.8,12.2,15.2,0.2,76.8,0,0,0,1,0,13,0,0.2,27.200000000000003,0,
00:20,17,0.8,11.799999999999999,15,0,77.2,0,0,0,1,0,13.4,0,0,27,0,
00:21,17,0.6,12.2,15,0,76.6,0,0,0,1,0,13.200000000000001,0.4,0.2,27.200000000000003,0,
00:22,17,0.8,11.799999999999999,15,0.2,76.6,0,0,0,1.2,0,13.200000000000001,0,0,26.8,0,
00:23,17,0.6,12.4,15,0.2,76.6,0,0,0,1,0,13,0,0.2,27,0,
00:24,17,1,12.4,15,0.2,77.4,0,0,0,1.2,0,12.8,0,0,27.800000000000004,0,
00:25,17.2,1,12,15,0,77.4,0,0,0,1,0,13.4,0,0,27.400000000000002,0,
00:26,17,0.8,12.6,14.799999999999999,0,77.2,0,0,0,1,0,13,0,0,27.800000000000004,0,
00:27,17.2,0.6,12,14.6,0,77.4,0,0,0,1,0,13.4,0,0.2,27.200000000000003,0,
00:28,17,1,12.2,14.6,0,77.8,0,0,0,1,0,13,0,0,27.800000000000004,0,
00:29,17,1,12.2,14.399999999999999,0,77.4,0,0,0,1,0,13,0,0,27.400000000000002,0,
00:30,17,1,12.2,14.799999999999999,0,77.2,0,0,0,1,0,13,0,0,27.800000000000004,0,
00:31,17,1.2,12,14.399999999999999,0,77.60000000000001,0,0,0,1,0,13,0,0,27.800000000000004,0,
00:32,16.6,0.2,12,14.000000000000002,0,77.2,0,0,0,0.6,0,13.200000000000001,0,0.2,27.800000000000004,0,
00:33,17,1,12.2,14.399999999999999,0,77.60000000000001,0,0,0,1,0,13.200000000000001,0,0,28.000000000000004,0,
