時間,Group1_Production_産業機械_#03,Group1_Production_産業機械_#08,Group1_Production_産業機械_#12,Group1_Production_産業機械_#13,Group2_Production_産業機械_#01,Group2_Production_産業機械_#02,Group2_Production_産業機械_#05,Group3_Production_産業機械_#10,Group3_Production_産業機械_#11,Group3_Production_産業機械_#15,Group4_Production_産業機械_#16,Group5_Production_産業機械_#07,Group6_Production_産業機械_#14,Group7_Production_産業機械_#09,Group8_Production_産業機械_#04,Group9_Production_産業機械_#06,
00:00,0,116.19999999999999,0,295,0,0,414.79999999999995,824.2,232.6,750.1999999999999,0,0,23.200000000000003,0,0,1009.2,
00:01,0,118.8,0,293.8,0,0,427.4,842.8000000000001,238.60000000000002,756.2,0,0,23.200000000000003,0,0,1008,
00:02,0,105.4,0,265.6,0,0,429.6,805.8,232.39999999999998,805.5999999999999,0,0,18.2,0,0,947.1999999999999,
00:03,0,94.6,0,263.4,0,0,439.59999999999997,825.8,240.79999999999998,789.6,0,0,19.400000000000002,0,0,980.5999999999999,
00:04,0,123.6,0,269.6,0,0,441.6,827.8000000000001,238.39999999999998,788.4000000000001,0,0,22.8,0,0,989.6000000000001,
00:05,0,67.80000000000001,0,220.8,0,0,433.4,824.2,227.2,805.0000000000001,0,0,21.4,0,0,896.4000000000001,
00:06,0,109.80000000000001,0,256.2,0,0,440.2,832.1999999999999,235,789.2,0,0,22.8,0,0,977,
00:07,0,115.6,0,277.59999999999997,0,0,438.2,845.5999999999999,237.8,785.8,0,0,21.2,0,0,993.8000000000001,
00:08,0,103.60000000000001,0,280.6,0,0,440.00000000000006,860.2,237.8,799.4,0,0,12,0,0,1019.2,
00:09,0,116.8,0,255.79999999999998,0,0,419.20000000000005,810.8000000000001,233.4,771.4000000000001,0,0,21,0,0,942,
00:10,0,130.4,0,256.59999999999997,0,0,413.40000000000003,818.2,228.39999999999998,773.6,0,0,19.8,0,0,927.9999999999999,
00:11,0,113.79999999999998,0,259.6,0,0,422.20000000000005,828.2,235.6,781.4,0,0,18.6,0,0,944.2,
00:12,0,143.2,0,260.2,0,0,412.2,819.9999999999999,232.6,768.8,0,0,26.200000000000003,0,0,917.2,
00:13,0,118.19999999999999,0,269.4,0,0,416,831.6,232.79999999999998,770,0,0,24.2,0,0,948.4,
00:14,0,134.20000000000002,0,278.79999999999995,0,0,415.59999999999997,832.8,230.39999999999998,782.5999999999999,0,0,18.8,0,0,959.4,
00:15,0,118.39999999999999,0,278.79999999999995,0,0,418.6,835.3999999999999,234.39999999999998,787.2,0,0,19.6,0,0,958.2,
00:16,0,143.6,0,286.4,0,0,409,838.1999999999999,231.2,795.2,0,0,14.799999999999999,0,0,951.6,
00:17,0,140.2,0,278,0,0,415.4,834.6,233.8,805.5999999999999,0,0,12.6,0,0,946.4000000000001,
00:18,0,149.6,0,281.4,0,0,415.2,828.4000000000001,234,800,0,0,15.8,0,0,958.4,
00:19,0,132.8,0,283.40000000000003,0,0,419.80000000000007,820.4000000000001,229.99999999999997,799.6,0,0,16.400000000000002,0,0,963.4000000000001,
00:20,0,160,0,279.2,0,0,418.20000000000005,818.2,231.4,797.8,0,0,20.599999999999998,0,0,937.8,
00:21,0,140,0,275,0,0,428.4,830.4,236.20000000000002,797,0,0,23.799999999999997,0,0,953.8000000000001,
00:22,0,143.4,0,277,0,0,423.20000000000005,833.2,231.6,784.4,0,0,22.400000000000002,0,0,963.8,
00:23,0,160.20000000000002,0,273.8,0,0,412.4,817.4,225.8,777,0,0,28.199999999999996,0,0,915.1999999999999,
00:24,0,153,0,280.4,0,0,412.2,837.4000000000001,226.39999999999998,783,0,0,25.2,0,0,945.4000000000001,
00:25,0,152,0,282.4,0,0,413,843.8000000000001,227.4,792.8,0,0,19.2,0,0,969.8000000000001,
00:26,0,157.4,0,277.59999999999997,0,0,412,845.2,230.6,789.2,0,0,20.599999999999998,0,0,959.8000000000001,
00:27,0,131.4,0,281.2,0,0,423.00000000000006,863.0000000000001,230.20000000000002,819.4000000000001,0,0,10.6,0,0,1002.6,
00:28,0,122.2,0,266.40000000000003,0,0,404.6,815.8,225.99999999999997,797.8,0,0,13.600000000000001,0,0,903.8000000000001,
00:29,0,132.4,0,280.6,0,0,404,822.4,224.00000000000003,810.3999999999999,0,0,8.4,0,0,913.8,
00:30,0,119.8,0,284,0,0,421,841.2,231,820.5999999999999,0,0,7.3999999999999995,0,0,984,
00:31,0,121.2,0,273.20000000000005,0,0,407.4,829.1999999999999,223.60000000000002,803.8000000000001,0,0,12,0,0,895.4000000000001,
00:32,0,138,0,268.40000000000003,0,0,412.4,816.2,224.2,802.6,0,0,16,0,0,935.3999999999999,
00:33,0,140.2,0,274.6,0,0,412,835.3999999999999,225.4,802.9999999999999,0,0,13.200000000000001,0,0,932.6,
00:34,0,156.8,0,285.40000000000003,0,0,414.40000000000003,838.5999999999999,225.8,815.8,0,0,16.400000000000002,0,0,938.4000000000001,
00:35,0,151.2,0,271.4,0,0,411.4,829.8,223.60000000000002,790.2,0,0,23.200000000000003,0,0,933,
00:36,0,155.8,0,291.59999999999997,0,0,409.99999999999994,852.2,224.8,816.8,0,0,14.000000000000002,0,0,968,
00:37,0,172.4,0,288,0,0,405.6,832,222.8,822.4,0,0,13.600000000000001,0,0,956.1999999999999,
00:38,0,156.4,0,280.6,0,0,399.2,823.8,224.6,800.2,0,0,17.2,0,0,899,
00:39,0,155.8,0,279.59999999999997,0,0,405,834.2,222.2,811.5999999999999,0,0,13.4,0,0,911.4000000000001,
00:40,0,140.6,0,282.4,0,0,412.8,853.4000000000001,225.4,824.6,0,0,8.4,0,0,947.8,
00:41,0,154.20000000000002,0,266.59999999999997,0,0,409.8,857.8,227.8,800.6,0,0,17.2,0,0,914.6000000000001,
00:42,0,150.2,0,262.2,0,0,411.2,836.5999999999999,223.4,794.4,0,0,25.4,0,0,890,
00:43,0,128,0,234.79999999999998,0,0,410.20000000000005,835.8000000000001,220.00000000000003,823.1999999999999,0,0,14.399999999999999,0,0,852.8000000000001,
00:44,0,155,0,268.2,0,0,409.99999999999994,847.1999999999999,226.2,810.2,0,0,15,0,0,902.9999999999999,
00:45,0,155.8,0,274,0,0,409.99999999999994,855.4,229.4,819.6,0,0,8.799999999999999,0,0,936.5999999999999,
00:46,0,140.39999999999998,0,276.2,0,0,416.6,869.2,229.4,825.4,0,0,6.6000000000000005,0,0,949.4,
00:47,0,137.6,0,272.8,0,0,416.8,850.2,229,817,0,0,11,0,0,925.6,
00:48,0,123.6,0,262.59999999999997,0,0,424.4,842.4,230.6,807.1999999999999,0,0,19.6,0,0,919.4000000000001,
00:49,0,127.60000000000001,0,268.6,0,0,426.40000000000003,863.0000000000001,231.4,823,0,0,12,0,0,946.5999999999999,
00:50,0,118.39999999999999,0,250.2,0,0,425.8,837.4000000000001,231.4,808.2,0,0,15,0,0,878.2,
00:51,0,121.6,0,263.6,0,0,419.4,847.0000000000001,229.6,814,0,0,13.600000000000001,0,0,891.2,
00:52,0,99.2,0,232.39999999999998,0,0,420.4,849.6,225.8,831.1999999999999,0,0,8.6,0,0,859.6,
00:53,0,109.00000000000001,0,242.20000000000002,0,0,416.6,832.4,226.79999999999998,817,0,0,15.4,0,0,861.8000000000001,
00:54,0,119.6,0,244.60000000000002,0,0,413.6,840.6,227,803.9999999999999,0,0,19.2,0,0,845.5999999999999,
00:55,0,130.6,0,243.6,0,0,409.6,823.6,225.59999999999997,797.6,0,0,18.6,0,0,853.5999999999999,
00:56,0,136.8,0,228.39999999999998,0,0,384,796.1999999999999,205.39999999999998,735.4,0,0,37.8,0,0,811.4000000000001,
00:57,0,348.8,0,258,0,0,199.2,777.4,138.39999999999998,483.8,0,0,59.4,0,13,647.4,
00:58,0,339.8,0,262.8,0,0,201.2,778.8000000000001,137.6,486.2,0,0,59.199999999999996,0,13.8,646.8,
00:59,0,357.2,0,253.79999999999998,0,0,195,780.4,135.4,480.6,0,0,59,0,24.4,644.8000000000001,
01:00,0,358.2,0,253.2,0,0,195.79999999999998,778.4,136.8,489.59999999999997,0,0,55.2,0,23,631.4,
01:01,0,342,0,259,0,0,194.2,782,136.4,489.59999999999997,0,0,54.800000000000004,0,28.199999999999996,632,
01:02,0,355.6,0,255.79999999999998,0,0,197.2,784.4,139.79999999999998,488.99999999999994,0,0,56.2,0,25.2,621.1999999999999,
01:03,0,356.2,0,256.2,0,0,200.8,787.4,138.79999999999998,487.4,0,0,60.4,0,20.599999999999998,619.4,
01:04,0,356.8,0,264.40000000000003,0,0,196.8,788.1999999999999,138.2,486.00000000000006,0,0,62,0,18.4,621,
01:05,0,363.2,0,258.8,0,0,199.8,778.8000000000001,137.4,489.20000000000005,0,0,61,0,11.4,629.4,
01:06,0,354.2,0,271,0,0,198.4,769.4,141.79999999999998,482.59999999999997,0,0,55.60000000000001,0,1.2,655,
01:07,0,340.2,0,267,0,0,203.2,788.6,146.2,475.4,0,0,49.6,0,0,669.2,
01:08,0,359.6,0,290.6,0,0,201.39999999999998,764,144.79999999999998,482.8,0,0,54.400000000000006,0,0,647.6,
01:09,0,395.2,0,335.59999999999997,0,0,198.6,766.8000000000001,145.6,497.6,0,0,49,0,0,733.4,
01:10,0,386.8,0,299.40000000000003,0,0,190,756.6,139,479.8,0,0,57.199999999999996,0,0,639.2,
01:11,0,380.2,0,293.40000000000003,0,0,185.4,761.5999999999999,141.6,476.40000000000003,0,0,57.599999999999994,0,0,652.4,
01:12,0,340.2,0,266.59999999999997,0,0,210.4,753.5999999999999,143.6,484.8,0,0,60.199999999999996,0,0,650.6,
01:13,0,344.8,0,262.40000000000003,0,0,206.2,751.6,142.6,485.59999999999997,0,0,58.599999999999994,0,0,649,
01:14,0,345.8,0,259,0,0,208,743.8,143.2,495.4,0,0,53,0,0,650.6,
01:15,0,331.8,0,262.8,0,0,207.79999999999998,755,143.6,477.59999999999997,0,0,55.400000000000006,0,0,663.6,
